age,male,female
0,2.63,1.88
1,1.03,0.84
2,0.99,0.8
3,0.97,0.78
4,0.93,0.77
5,0.88,0.75
6,0.83,0.73
7,0.78,0.71
8,0.75,0.7
9,0.74,0.69
10,0.75,0.68
11,0.81,0.7
12,0.92,0.73
13,1.07,0.77
14,1.24,0.82
15,1.42,0.87
16,1.59,0.92
17,1.72,0.96
18,1.82,1
19,1.88,1.03
20,1.9,1.06
21,1.9,1.08
22,1.88,1.1
23,1.84,1.12
24,1.8,1.15
25,1.75,1.17
26,1.72,1.2
27,1.71,1.24
28,1.7,1.28
29,1.72,1.32
30,1.75,1.37
31,1.8,1.42
32,1.87,1.47
33,1.95,1.54
34,2.05,1.61
35,2.17,1.7
36,2.32,1.82
37,2.49,1.96
38,2.68,2.13
39,2.9,2.32
40,3.15,2.53
41,3.42,2.75
42,3.71,2.98
43,4.03,3.2
44,4.37,3.44
45,4.73,3.68
46,5.12,3.92
47,5.53,4.19
48,5.97,4.48
49,6.46,4.79
50,7,5.13
51,7.63,5.5
52,8.33,5.92
53,9.13,6.38
54,10.01,6.85
55,10.96,7.33
56,11.97,7.8
57,13.04,8.25
58,14.18,8.7
59,15.42,9.2
60,16.8,9.8
61,18.36,10.54
62,20.12,11.49
63,22.09,12.63
64,24.27,13.92
65,26.62,15.29
66,29.13,16.71
67,31.79,18.13
68,34.65,19.59
69,37.81,21.23
70,41.37,23.16
71,45.43,25.53
72,50.08,28.47
73,55.34,31.99
74,61.1,36.05
75,67.25,40.56
76,73.7,45.45
77,80.37,50.68
78,87.32,56.32
79,94.76,62.57
80,102.94,69.67
81,112.09,77.83
82,122.41,87.25
83,133.84,97.9
84,146.12,109.62
85,158.98,122.29
86,172.21,135.82
87,185.73,150.18
88,199.53,165.38
89,213.69,181.54
90,228.43,198.85
91,244.11,217.68
92,261.43,238.69
93,282.13,263.41
94,309.97,295.23
95,351.86,341.02
96,420.99,413.88
97,541,537.24
98,745.15,743.96
