age[x],q[x],q[x]+1,q[x]+2,q[x]+3,qx+4
-4,0,0,0,0,0.24
-3,0,0,0,0.216,0.15
-2,0,0,0.192,0.135,0.13
-1,0,0.168,0.12,0.117,0.12
0,0.144,0.105,0.104,0.108,0.11
1,0.09,0.091,0.096,0.099,0.1
2,0.078,0.084,0.088,0.09,0.1
3,0.072,0.077,0.08,0.09,0.09
4,0.066,0.07,0.08,0.081,0.09
5,0.06,0.07,0.072,0.081,0.09
6,0.06,0.063,0.072,0.081,0.1
7,0.054,0.063,0.072,0.09,0.11
8,0.054,0.063,0.08,0.099,0.14
9,0.054,0.07,0.088,0.126,0.2
10,0.06,0.077,0.112,0.18,0.29
11,0.066,0.098,0.16,0.261,0.42
12,0.084,0.14,0.232,0.378,0.59
13,0.12,0.203,0.336,0.531,0.78
14,0.174,0.294,0.472,0.702,0.8
15,0.252,0.413,0.624,0.72,0.84
16,0.354,0.546,0.64,0.756,0.87
17,0.468,0.56,0.672,0.783,0.9
18,0.48,0.588,0.696,0.81,0.93
19,0.504,0.609,0.72,0.837,0.96
20,0.522,0.63,0.744,0.864,1
21,0.54,0.651,0.768,0.9,1.01
22,0.558,0.672,0.8,0.909,1.01
23,0.576,0.7,0.808,0.909,1
24,0.6,0.707,0.808,0.9,0.98
25,0.606,0.707,0.8,0.882,0.98
26,0.606,0.7,0.784,0.882,1
27,0.6,0.686,0.784,0.9,1.05
28,0.588,0.686,0.8,0.945,1.13
29,0.588,0.7,0.84,1.017,1.21
30,0.6,0.735,0.904,1.089,1.3
31,0.63,0.791,0.968,1.17,1.41
32,0.678,0.847,1.04,1.269,1.54
33,0.726,0.91,1.128,1.386,1.69
34,0.78,0.987,1.232,1.521,1.83
35,0.846,1.078,1.352,1.647,1.98
36,0.924,1.183,1.464,1.782,2.13
37,1.014,1.281,1.584,1.917,2.27
38,1.098,1.386,1.704,2.043,2.39
39,1.188,1.491,1.816,2.151,2.44
40,1.278,1.589,1.912,2.196,2.51
41,1.362,1.673,1.952,2.259,2.57
42,1.434,1.708,2.008,2.313,2.64
43,1.464,1.757,2.056,2.376,2.71
44,1.506,1.799,2.112,2.439,2.77
45,1.542,1.848,2.168,2.493,2.87
46,1.584,1.897,2.216,2.583,3.01
47,1.626,1.939,2.296,2.709,3.19
48,1.662,2.009,2.408,2.871,3.39
49,1.722,2.107,2.552,3.051,3.63
50,1.806,2.233,2.712,3.267,3.9
51,1.914,2.373,2.904,3.51,4.22
52,2.034,2.541,3.12,3.798,4.58
53,2.178,2.73,3.376,4.122,5
54,2.34,2.954,3.664,4.5,5.48
55,2.532,3.206,4,4.932,6.04
56,2.748,3.5,4.384,5.436,6.67
57,3,3.836,4.832,6.003,7.4
58,3.288,4.228,5.336,6.66,8.22
59,3.624,4.669,5.92,7.398,9.14
60,4.002,5.18,6.576,8.226,10.13
61,4.44,5.754,7.312,9.117,11.18
62,4.932,6.398,8.104,10.062,12.3
63,5.484,7.091,8.944,11.07,13.5
64,6.078,7.826,9.84,12.15,14.82
65,6.708,8.61,10.8,13.338,16.34
66,7.38,9.45,11.856,14.706,18.11
67,8.1,10.374,13.072,16.299,20.2
68,8.892,11.438,14.488,18.18,22.63
69,9.804,12.677,16.16,20.367,25.38
70,10.866,14.14,18.104,22.842,28.44
71,12.12,15.841,20.304,25.596,31.76
72,13.578,17.766,22.752,28.584,35.33
73,15.228,19.908,25.408,31.797,39.19
74,17.064,22.232,28.264,35.271,43.46
75,19.056,24.731,31.352,39.114,48.28
76,21.198,27.433,34.768,43.452,53.79
77,23.514,30.422,38.624,48.411,59.98
78,26.076,33.796,43.032,53.982,67.23
79,28.968,37.653,47.984,60.507,75.84
80,32.274,41.986,53.784,68.256,85.73
81,35.988,47.061,60.672,77.157,97.08
82,40.338,53.088,68.584,87.372,109.98
83,45.504,60.011,77.664,98.982,124.44
84,51.438,67.956,87.984,111.996,140.18
85,58.248,76.986,99.552,126.162,156.84
86,65.988,87.108,112.144,141.156,174.05
87,74.664,98.126,125.472,156.645,191.28
88,84.108,109.788,139.24,172.152,208.25
89,94.104,121.835,153.024,187.425,224.51
90,104.43,133.896,166.6,202.059,239.32
91,114.768,145.775,179.608,215.388,254.86
92,124.95,157.157,191.456,229.374,273.29
93,134.706,167.524,203.888,245.961,293.27
94,143.592,178.402,218.632,263.943,314.94
95,152.916,191.303,234.616,283.446,337.88
96,163.974,205.289,251.952,304.092,360.89
97,175.962,220.458,270.304,324.801,383.06
98,188.964,236.516,288.712,344.754,405.02
99,202.728,252.623,306.448,364.518,426.37
100,216.534,268.142,324.016,383.733,446.73
101,229.836,283.514,341.096,402.057,465.7
102,243.012,298.459,357.384,419.13,486.31
103,255.822,312.711,372.56,437.679,512.38
104,268.038,325.99,389.048,461.142,539.81
105,279.42,340.417,409.904,485.829,568.67
106,291.786,358.666,431.848,511.803,599.03
107,307.428,377.867,454.936,539.127,630.96
108,323.886,398.069,479.224,567.864,664.53
109,341.202,419.321,504.768,598.077,699.81
110,359.418,441.672,531.624,629.829,736.87
111,378.576,465.171,559.848,663.183,775.78
112,398.718,489.867,589.496,698.202,816.6
113,419.886,515.809,620.624,734.94,859.4
114,442.122,543.046,653.28,773.46,904.21
115,465.468,571.62,687.52,813.789,951.08
116,489.96,601.58,723.368,855.972,1000
