Scen ID,ie_pp_sen,ie_pc_sen,re_pp_sen,re_pc_sen,op_exp_sen,inf_sen,fme_sen,comm_sen,ovrd_sen,mort_sen,ulp_fer_sen,sh_fer_sen,lapse_sen,rdr_sen,vir_sen,fmc_sen
1,100,0,100,0,100,0,0,100,100,100,0,0,100,0,0,0
2,150,0,100,0,100,0,0,100,100,100,0,0,100,0,0,0
3,50,0,100,0,100,0,0,100,100,100,0,0,100,0,0,0
4,100,5,100,0,100,0,0,100,100,100,0,0,100,0,0,0
5,100,-5,100,0,100,0,0,100,100,100,0,0,100,0,0,0
6,100,0,150,0,100,0,0,100,100,100,0,0,100,0,0,0
7,100,0,50,0,100,0,0,100,100,100,0,0,100,0,0,0
8,100,0,100,0.5,100,0,0,100,100,100,0,0,100,0,0,0
9,100,0,100,-0.5,100,0,0,100,100,100,0,0,100,0,0,0
10,100,0,100,0,150,0,0,100,100,100,0,0,100,0,0,0
11,100,0,100,0,50,0,0,100,100,100,0,0,100,0,0,0
12,100,0,100,0,100,1,0,100,100,100,0,0,100,0,0,0
13,100,0,100,0,100,-1,0,100,100,100,0,0,100,0,0,0
14,100,0,100,0,100,0,0.25,100,100,100,0,0,100,0,0,0
15,100,0,100,0,100,0,-0.25,100,100,100,0,0,100,0,0,0
16,100,0,100,0,100,0,0,150,100,100,0,0,100,0,0,0
17,100,0,100,0,100,0,0,50,100,100,0,0,100,0,0,0
18,100,0,100,0,100,0,0,100,150,100,0,0,100,0,0,0
19,100,0,100,0,100,0,0,100,50,100,0,0,100,0,0,0
20,100,0,100,0,100,0,0,100,100,110,0,0,100,0,0,0
21,100,0,100,0,100,0,0,100,100,90,0,0,100,0,0,0
22,100,0,100,0,100,0,0,100,100,100,-1,0,100,0,0,0
23,100,0,100,0,100,0,0,100,100,100,1,0,100,0,0,0
24,100,0,100,0,100,0,0,100,100,100,0,-1,100,0,0,0
25,100,0,100,0,100,0,0,100,100,100,0,1,100,0,0,0
26,100,0,100,0,100,0,0,100,100,100,0,0,50,0,0,0
27,100,0,100,0,100,0,0,100,100,100,0,0,150,0,0,0
28,100,0,100,0,100,0,0,100,100,100,0,0,100,-1,0,0
29,100,0,100,0,100,0,0,100,100,100,0,0,100,1,0,0
30,100,0,100,0,100,0,0,100,100,100,0,0,100,0,0.5,0
31,100,0,100,0,100,0,0,100,100,100,0,0,100,0,-0.5,0
32,100,0,100,0,100,0,0,100,100,100,0,0,100,0,0,-0.25
33,100,0,100,0,100,0,0,100,100,100,0,0,100,0,0,0.25
34,100,0,100,0,50,0,0,75,75,90,1,0,100,0,0,0.25
35,100,0,100,0,120,0,0,100,100,110,-1,0,100,0,0,-0.25
